plot_area_code,gedi_shot_number,biwf,l4_agbd,beam,time,rh_100,num_modes,l4_agbd_se,pft,region,modis_treecover,modis_nonvegetated,landsat_treecover,hse,k_allom,studysite
MON01h,137010200300382874,39.87803225497473,161.27484130859375,BEAM0010,2021-05-14T09:55:00Z,28.520000457763672,8,17.122678756713867,2,4,80,4,76,1.350000023841858,1,MONDAH
MON02h,137010300300375804,23.990123071239694,93.315887451171875,BEAM0011,2021-05-14T09:55:00Z,22.420000076293945,6,17.124967575073242,2,4,77,6,98,1.350000023841858,1,MONDAH
MON02h,191230600200292767,34.69706769332348,151.00204467773438,BEAM0110,2022-04-29T03:38:03Z,31.219999313354492,9,17.12062644958496,2,4,77,6,90,1.350000023841858,1,MONDAH
MON02h,191230600200292768,35.045251027873114,174.41160583496094,BEAM0110,2022-04-29T03:38:03Z,39.029998779296875,8,17.12598419189453,2,4,77,6,90,1.350000023841858,1,MONDAH
MON02h,191230600200292769,33.48204236879505,149.03256225585938,BEAM0110,2022-04-29T03:38:03Z,32.349998474121094,9,17.120492935180664,2,4,77,6,63,1.350000023841858,1,MONDAH
MON02h,191230600200292770,36.932226215915456,162.02110290527344,BEAM0110,2022-04-29T03:38:03Z,30.739999771118164,6,17.12158966064453,2,4,77,6,90,1.350000023841858,1,MONDAH
MON02h,191230600200292771,20.707664559171324,122.88372802734375,BEAM0110,2022-04-29T03:38:03Z,34.099998474121094,3,17.12625503540039,2,4,76,6,76,1.350000023841858,1,MONDAH
MON02h,191230600200292772,75.94101921915035,383.0708312988281,BEAM0110,2022-04-29T03:38:03Z,49.04999923706055,12,17.123567581176758,2,4,76,6,90,1.350000023841858,1,MONDAH
MON01h,191230600200292779,48.627233316009516,231.4147186279297,BEAM0110,2022-04-29T03:38:03Z,36.22999954223633,11,17.121061325073242,2,4,80,4,90,1.350000023841858,1,MONDAH
MON01h,191230600200292780,22.081957270555645,126.15714263916016,BEAM0110,2022-04-29T03:38:03Z,33.650001525878906,7,17.123472213745117,2,4,72,3,90,1.350000023841858,1,MONDAH
MON01h,191230600200292781,50.32272739557862,212.43431091308594,BEAM0110,2022-04-29T03:38:03Z,31.709999084472656,7,17.12529182434082,2,4,77,3,90,1.350000023841858,1,MONDAH
MON03h,191230800200049889,55.86514474281869,268.8199462890625,BEAM1000,2022-04-29T03:38:03Z,39.9900016784668,4,17.12067222595215,2,4,74,5,98,1.350000023841858,1,MONDAH
MON03h,191230800200049890,48.05770852392686,210.89059448242188,BEAM1000,2022-04-29T03:38:03Z,38.68000030517578,9,17.121402740478516,2,4,74,5,83,1.350000023841858,1,MONDAH
MON03h,191230800200049891,19.37064452392882,103.90619659423828,BEAM1000,2022-04-29T03:38:03Z,29.049999237060547,3,17.122371673583984,2,4,74,5,58,1.350000023841858,1,MONDAH
MON03h,191230800200049892,23.252868745234377,129.11561584472656,BEAM1000,2022-04-29T03:38:03Z,33.75,6,17.123226165771484,2,4,74,5,60,1.350000023841858,1,MONDAH
MON03h,191230800200049893,28.47449107857887,129.62457275390625,BEAM1000,2022-04-29T03:38:03Z,31.920000076293945,10,17.121442794799805,2,4,73,4,83,1.350000023841858,1,MONDAH
MON10h,191231100200045822,0.2255351704082998,15.038248062133789,BEAM1011,2022-04-29T03:38:03Z,12.989999771118164,1,17.1346492767334,2,4,72,7,51,1.350000023841858,1,MONDAH
MON10h,191231100200045823,16.921217971763067,81.99699401855469,BEAM1011,2022-04-29T03:38:03Z,26.65999984741211,6,17.12352752685547,2,4,72,7,59,1.350000023841858,1,MONDAH
MON10h,191231100200045824,1.2813532966743464,35.505340576171875,BEAM1011,2022-04-29T03:38:03Z,20.049999237060547,3,17.128135681152344,2,4,72,7,51,1.350000023841858,1,MONDAH
MON10h,191231100200045825,3.10711110981254,37.39299011230469,BEAM1011,2022-04-29T03:38:03Z,23.260000228881836,3,17.131275177001953,2,4,72,7,90,1.350000023841858,1,MONDAH
MON09h,191231100200045838,10.87288940760235,61.038570404052734,BEAM1011,2022-04-29T03:38:03Z,27.219999313354492,6,17.12959098815918,2,4,71,7,100,1.350000023841858,1,MONDAH
MON09h,191231100200045839,24.19376839600547,116.02047729492188,BEAM1011,2022-04-29T03:38:03Z,30.649999618530273,6,17.122257232666016,2,4,71,7,63,1.350000023841858,1,MONDAH
MON09h,191231100200045840,23.982911819589905,101.9234390258789,BEAM1011,2022-04-29T03:38:03Z,26.020000457763672,7,17.12213706970215,2,4,71,7,90,1.350000023841858,1,MONDAH
MON05h,191231100200045880,0.11763691372544982,11.247275352478027,BEAM1011,2022-04-29T03:38:03Z,8.880000114440918,1,17.140094757080078,2,4,55,7,100,1.350000023841858,1,MONDAH
MON20h,148681100200046089,5.650532727642074,37.90488052368164,BEAM1011,2021-07-28T16:13:22Z,19.369998931884766,4,17.12757682800293,2,4,47,9,54,1.350000023841858,1,MONDAH
MON05h,194810800300294072,13.162962245076697,58.52165222167969,BEAM1000,2022-05-22T06:25:28Z,19.119998931884766,7,17.126523971557617,2,4,44,8,63,1.350000023841858,1,MONDAH
MON23h,21150100200045482,29.997004148673593,122.28710174560547,BEAM0001,2019-04-28T05:42:46Z,25.559999465942383,9,17.12331199645996,2,4,39,6,100,1.350000023841858,1,MONDAH
MON21Ah,37410500300446757,12.727700588141984,56.36497116088867,BEAM0101,2019-08-11T00:05:46Z,28.299999237060547,4,17.134536743164062,2,4,13,9,71,1.350000023841858,1,MONDAH
