plot_area_code,gedi_shot_number,biwf,l4_agbd,beam,time,rh_100,num_modes,l4_agbd_se,pft,region,modis_treecover,modis_nonvegetated,landsat_treecover,hse,k_allom,studysite
MON21Ah,37410500300446759,63.08515683464555,121.69010925292969,BEAM0101,2019-08-11T00:05:46Z,27.209999084472656,3,17.12287712097168,2,4,15,8,90,1.6799999475479126,1,MONDAH
MON02h,191230600200292769,83.55976308542012,149.03256225585938,BEAM0110,2022-04-29T03:38:03Z,32.349998474121094,9,17.120492935180664,2,4,77,6,63,1.6799999475479126,1,MONDAH
MON02h,191230600200292770,94.31349966876843,162.02110290527344,BEAM0110,2022-04-29T03:38:03Z,30.739999771118164,6,17.12158966064453,2,4,77,6,90,1.6799999475479126,1,MONDAH
MAB05h,173990800100060781,206.0452076693357,332.8814697265625,BEAM1000,2022-01-08T00:29:30Z,43.97999954223633,12,17.121841430664062,2,4,54,10,76,1.6799999475479126,1,MABOUNIE
MAB04h,173991100100056706,156.4987230290608,252.04493713378906,BEAM1011,2022-01-08T00:29:29Z,41.439998626708984,9,17.12125587463379,2,4,27,9,100,1.6799999475479126,1,MABOUNIE
MAB04h,173991100100056707,299.27484756462417,426.97442626953125,BEAM1011,2022-01-08T00:29:29Z,46.86000061035156,11,17.12667465209961,2,4,28,11,100,1.6799999475479126,1,MABOUNIE
LOP12h,158050200400319849,51.13757141744726,90.45609283447266,BEAM0010,2021-09-27T04:07:20Z,22.899999618530273,6,17.12381362915039,2,4,42,7,83,1.6799999475479126,1,LOPE
LOP03h,78600600400730683,7.60024890347012,38.358116149902344,BEAM0110,2020-05-02T14:50:43Z,24.459999084472656,1,17.132102966308594,2,4,32,8,54,1.6799999475479126,1,LOPE
LOP09h,141360600200277045,286.8905019436333,411.18634033203125,BEAM0110,2021-06-11T10:42:11Z,44.59000015258789,12,17.12818717956543,2,4,55,4,90,1.6799999475479126,1,LOPE
LOP09h,141360600200277046,164.507564546747,264.5966491699219,BEAM0110,2021-06-11T10:42:11Z,42.08000183105469,7,17.12120819091797,2,4,55,4,90,1.6799999475479126,1,LOPE
LOP03h,141360800200062229,0.11453218166431374,12.12104320526123,BEAM1000,2021-06-11T10:42:11Z,10.050000190734863,1,17.138866424560547,2,4,31,6,51,1.6799999475479126,1,LOPE
LOP03h,141360800200062230,0,11.2582368850708,BEAM1000,2021-06-11T10:42:11Z,9.380000114440918,1,17.139352798461914,2,4,31,6,43,1.6799999475479126,1,LOPE
LOP07h,141360800200062246,206.26928713863794,296.68670654296875,BEAM1000,2021-06-11T10:42:11Z,38.11000061035156,10,17.125629425048828,2,4,52,6,90,1.6799999475479126,1,LOPE
LOP08h,165450500200080555,286.12913181489824,399.7307434082031,BEAM0101,2021-11-13T22:15:33Z,43.27000045776367,7,17.129562377929688,2,4,34,5,100,1.6799999475479126,1,LOPE
LOP08h,165450500200080556,285.5868537035275,397.8821716308594,BEAM0101,2021-11-13T22:15:33Z,43.97999954223633,9,17.12836456298828,2,4,34,5,100,1.6799999475479126,1,LOPE
LOP01h,165451100200080386,0,10.286048889160156,BEAM1011,2021-11-13T22:15:33Z,8.65999984741211,1,17.140981674194336,2,4,32,9,43,1.6799999475479126,1,LOPE
LOP01h,165451100200080387,0,10.52496337890625,BEAM1011,2021-11-13T22:15:33Z,8.880000114440918,1,17.14076805114746,2,4,32,9,36,1.6799999475479126,1,LOPE
