plot_area_code,gedi_shot_number,biwf,l4_agbd,beam,time,rh_100,num_modes,l4_agbd_se,pft,region,modis_treecover,modis_nonvegetated,landsat_treecover,hse,k_allom,studysite
MON05h,194810800300294072,27.85075136498769,58.52165222167969,BEAM1000,2022-05-22T06:25:28Z,19.119998931884766,7,17.126523971557617,2,4,44,8,63,1.6799999475479126,1,MONDAH
MON01h,137010200300382874,102.29049563034582,161.27484130859375,BEAM0010,2021-05-14T09:55:00Z,28.520000457763672,8,17.122678756713867,2,4,80,4,76,1.6799999475479126,1,MONDAH
MON02h,137010300300375804,55.46678797718951,93.315887451171875,BEAM0011,2021-05-14T09:55:00Z,22.420000076293945,6,17.124967575073242,2,4,77,6,98,1.6799999475479126,1,MONDAH
MON10h,232651100300328073,100.07270863609536,149.76063537597656,BEAM1011,2023-01-21T06:49:17Z,34.84000015258789,9,17.123594284057617,2,4,70,5,39,1.6799999475479126,1,MONDAH
MON21Ah,37410500300446757,33.50076758833943,56.36497116088867,BEAM0101,2019-08-11T00:05:46Z,28.299999237060547,4,17.134536743164062,2,4,13,9,71,1.6799999475479126,1,MONDAH
MON21Ah,37410500300446758,14.415214100963906,55.35245132446289,BEAM0101,2019-08-11T00:05:46Z,28.40999984741211,7,17.130556106567383,2,4,15,8,55,1.6799999475479126,1,MONDAH
MON21Ah,37410500300446759,63.08515683464555,121.69010925292969,BEAM0101,2019-08-11T00:05:46Z,27.209999084472656,3,17.12287712097168,2,4,15,8,90,1.6799999475479126,1,MONDAH
MON21Ah,37410500300446760,62.29306746782304,111.91944122314453,BEAM0101,2019-08-11T00:05:46Z,24.030000686645508,4,17.127197265625,2,4,15,8,83,1.6799999475479126,1,MONDAH
MON21Ah,37410500300446761,19.777363226646457,43.934844970703125,BEAM0101,2019-08-11T00:05:46Z,24.93000030517578,2,17.130592346191406,2,4,15,8,76,1.6799999475479126,1,MONDAH
MON19h,37410600300552851,2.8922234222470964,28.130491256713867,BEAM0110,2019-08-11T00:05:45Z,18.81999969482422,2,17.12930679321289,2,4,33,8,48,1.6799999475479126,1,MONDAH
MON19h,37410600300552852,1.3725917696847696,23.248018264770508,BEAM0110,2019-08-11T00:05:45Z,17.810001373291016,2,17.130277633666992,2,4,33,8,55,1.6799999475479126,1,MONDAH
MON19h,37410600300552853,3.8828608501917743,33.08812713623047,BEAM0110,2019-08-11T00:05:45Z,18.779998779296875,1,17.12839698791504,2,4,33,8,51,1.6799999475479126,1,MONDAH
MON19h,37410600300552854,81.42409431606171,140.13584899902344,BEAM0110,2019-08-11T00:05:45Z,34.81999969482422,7,17.124385833740234,2,4,12,11,55,1.6799999475479126,1,MONDAH
MON19h,37410600300552855,34.55104010686969,79.40233612060547,BEAM0110,2019-08-11T00:05:45Z,27.360000610351562,7,17.123998641967773,2,4,12,11,83,1.6799999475479126,1,MONDAH
MON20h,37410800300450753,5.309194872106697,31.148672103881836,BEAM1000,2019-08-11T00:05:46Z,17.170000076293945,4,17.131614685058594,2,4,48,8,100,1.6799999475479126,1,MONDAH
MON20h,37410800300450754,0.793794033409661,30.69158363342285,BEAM1000,2019-08-11T00:05:46Z,18.260000228881836,4,17.129459381103516,2,4,48,8,90,1.6799999475479126,1,MONDAH
MON20h,37410800300450755,1.397231127199058,26.379531860351562,BEAM1000,2019-08-11T00:05:46Z,16.5,4,17.131099700927734,2,4,48,8,90,1.6799999475479126,1,MONDAH
MON20h,37410800300450756,15.663163178831342,50.30022048950195,BEAM1000,2019-08-11T00:05:46Z,24.030000686645508,2,17.126428604125977,2,4,48,8,90,1.6799999475479126,1,MONDAH
MON20h,37410800300450757,38.27204511479359,75.63438415527344,BEAM1000,2019-08-11T00:05:46Z,31.3700008392334,8,17.13364028930664,2,4,47,9,58,1.6799999475479126,1,MONDAH
MON23h,21150100200045482,72.88285630699251,122.28710174560547,BEAM0001,2019-04-28T05:42:46Z,25.559999465942383,9,17.12331199645996,2,4,39,6,100,1.6799999475479126,1,MONDAH
