plot_area_code,gedi_shot_number,biwf,l4_agbd,beam,time,rh_100,num_modes,l4_agbd_se,pft,region,modis_treecover,modis_nonvegetated,landsat_treecover,hse,k_allom,studysite
MON21Ah,37410500300446758,14.415214100963906,55.35245132446289,BEAM0101,2019-08-11T00:05:46Z,28.40999984741211,7,17.130556106567383,2,4,15,8,55,1.6799999475479126,1,MONDAH
MON21Ah,37410500300446759,63.08515683464555,121.69010925292969,BEAM0101,2019-08-11T00:05:46Z,27.209999084472656,3,17.12287712097168,2,4,15,8,90,1.6799999475479126,1,MONDAH
MON21Ah,37410500300446760,62.29306746782304,111.91944122314453,BEAM0101,2019-08-11T00:05:46Z,24.030000686645508,4,17.127197265625,2,4,15,8,83,1.6799999475479126,1,MONDAH
MON19h,37410600300552852,1.3725917696847696,23.248018264770508,BEAM0110,2019-08-11T00:05:45Z,17.810001373291016,2,17.130277633666992,2,4,33,8,55,1.6799999475479126,1,MONDAH
MON19h,37410600300552853,3.8828608501917743,33.08812713623047,BEAM0110,2019-08-11T00:05:45Z,18.779998779296875,1,17.12839698791504,2,4,33,8,51,1.6799999475479126,1,MONDAH
MON20h,37410800300450754,0.793794033409661,30.69158363342285,BEAM1000,2019-08-11T00:05:46Z,18.260000228881836,4,17.129459381103516,2,4,48,8,90,1.6799999475479126,1,MONDAH
MON20h,37410800300450755,1.397231127199058,26.379531860351562,BEAM1000,2019-08-11T00:05:46Z,16.5,4,17.131099700927734,2,4,48,8,90,1.6799999475479126,1,MONDAH
MON23h,21150100200045482,72.88285630699251,122.28710174560547,BEAM0001,2019-04-28T05:42:46Z,25.559999465942383,9,17.12331199645996,2,4,39,6,100,1.6799999475479126,1,MONDAH
MON11h,62670200200060418,66.73741767422024,115.6046371459961,BEAM0010,2020-01-20T20:40:47Z,31.15999984741211,9,17.124853134155273,2,4,48,8,90,1.6799999475479126,1,MONDAH
MON19h,62670800200060198,9.533287977480153,35.69594955444336,BEAM1000,2020-01-20T20:40:48Z,19.06999969482422,4,17.12792205810547,2,4,12,11,62,1.6799999475479126,1,MONDAH
MON19h,62670800200060199,32.255968443743576,63.430667877197266,BEAM1000,2020-01-20T20:40:48Z,26.219999313354492,5,17.127023696899414,2,4,12,11,75,1.6799999475479126,1,MONDAH
MON21Ah,62671100200056314,0.012972933450739821,14.19048023223877,BEAM1011,2020-01-20T20:40:48Z,10.539999961853027,1,17.13682746887207,2,4,15,8,90,1.6799999475479126,1,MONDAH
