plot_area_code,gedi_shot_number,biwf,l4_agbd,beam,time,rh_100,num_modes,l4_agbd_se,pft,region,modis_treecover,modis_nonvegetated,landsat_treecover,hse,k_allom,studysite
MON21Ah,37410500300446758,3.209148138112592,55.35245132446289,BEAM0101,2019-08-11T00:05:46Z,28.40999984741211,7,17.130556106567383,2,4,15,8,55,1.149999976158142,1,MONDAH
MON21Ah,37410500300446759,15.34068602251754,121.69010925292969,BEAM0101,2019-08-11T00:05:46Z,27.209999084472656,3,17.12287712097168,2,4,15,8,90,1.149999976158142,1,MONDAH
MON21Ah,37410500300446760,15.699508670713316,111.91944122314453,BEAM0101,2019-08-11T00:05:46Z,24.030000686645508,4,17.127197265625,2,4,15,8,83,1.149999976158142,1,MONDAH
MON19h,37410600300552852,0.3731438135597507,23.248018264770508,BEAM0110,2019-08-11T00:05:45Z,17.810001373291016,2,17.130277633666992,2,4,33,8,55,1.149999976158142,1,MONDAH
MON19h,37410600300552853,1.1545613454206973,33.08812713623047,BEAM0110,2019-08-11T00:05:45Z,18.779998779296875,1,17.12839698791504,2,4,33,8,51,1.149999976158142,1,MONDAH
MON20h,37410800300450754,0.3846707565204859,30.69158363342285,BEAM1000,2019-08-11T00:05:46Z,18.260000228881836,4,17.129459381103516,2,4,48,8,90,1.149999976158142,1,MONDAH
MON20h,37410800300450755,0.6167198707241388,26.379531860351562,BEAM1000,2019-08-11T00:05:46Z,16.5,4,17.131099700927734,2,4,48,8,90,1.149999976158142,1,MONDAH
MON02h,191230600200292768,19.809313057724506,174.41160583496094,BEAM0110,2022-04-29T03:38:03Z,39.029998779296875,8,17.12598419189453,2,4,77,6,90,1.149999976158142,1,MONDAH
MON02h,191230600200292769,19.37013472735469,149.03256225585938,BEAM0110,2022-04-29T03:38:03Z,32.349998474121094,9,17.120492935180664,2,4,77,6,63,1.149999976158142,1,MONDAH
MON02h,191230600200292770,21.037510579348222,162.02110290527344,BEAM0110,2022-04-29T03:38:03Z,30.739999771118164,6,17.12158966064453,2,4,77,6,90,1.149999976158142,1,MONDAH
MON02h,191230600200292771,11.383334881282089,122.88372802734375,BEAM0110,2022-04-29T03:38:03Z,34.099998474121094,3,17.12625503540039,2,4,76,6,76,1.149999976158142,1,MONDAH
MON03h,191230800200049891,11.571919042890764,103.90619659423828,BEAM1000,2022-04-29T03:38:03Z,29.049999237060547,3,17.122371673583984,2,4,74,5,58,1.149999976158142,1,MONDAH
MON03h,191230800200049892,13.894606586158634,129.11561584472656,BEAM1000,2022-04-29T03:38:03Z,33.75,6,17.123226165771484,2,4,74,5,60,1.149999976158142,1,MONDAH
MON10h,191231100200045823,10.101514306616608,81.99699401855469,BEAM1011,2022-04-29T03:38:03Z,26.65999984741211,6,17.12352752685547,2,4,72,7,59,1.149999976158142,1,MONDAH
MON11h,62670200200060418,15.283008690270325,115.6046371459961,BEAM0010,2020-01-20T20:40:47Z,31.15999984741211,9,17.124853134155273,2,4,48,8,90,1.149999976158142,1,MONDAH
MON19h,62670800200060198,2.9135606035856227,35.69594955444336,BEAM1000,2020-01-20T20:40:48Z,19.06999969482422,4,17.12792205810547,2,4,12,11,62,1.149999976158142,1,MONDAH
MON19h,62670800200060199,8.154314852637324,63.430667877197266,BEAM1000,2020-01-20T20:40:48Z,26.219999313354492,5,17.127023696899414,2,4,12,11,75,1.149999976158142,1,MONDAH
MON21Ah,62671100200056314,0.008791184409731779,14.19048023223877,BEAM1011,2020-01-20T20:40:48Z,10.539999961853027,1,17.13682746887207,2,4,15,8,90,1.149999976158142,1,MONDAH
MON21Ah,62671100200056315,18.023587994463675,145.89801025390625,BEAM1011,2020-01-20T20:40:48Z,29.440000534057617,6,17.121553421020508,2,4,15,8,83,1.149999976158142,1,MONDAH
MON23h,21150100200045482,17.602527230939298,122.28710174560547,BEAM0001,2019-04-28T05:42:46Z,25.559999465942383,9,17.12331199645996,2,4,39,6,100,1.149999976158142,1,MONDAH
MAB05h,173990800100060780,42.67160208189134,377.7257385253906,BEAM1000,2022-01-08T00:29:30Z,43.68000030517578,9,17.125144958496094,2,4,54,10,59,1.149999976158142,1,MABOUNIE
