areacode,mean_biwf,mean_l4_agbd,n_gedi_shots
LOP01h,0,10.395453214645386,4
LOP03h,3.027996440436196,28.421942138671874,5
LOP07h,63.249374026757394,273.7602882385254,6
LOP08h,92.748478930428,402.6572570800781,4
LOP09h,43.338639766614016,192.6924575805664,5
LOP12h,21.93880848954168,90.45609283447266,1
MAB01h,40.94983324191206,185.54861755371093,5
MAB02h,43.20714366073915,199.44134140014648,4
MAB04h,62.65253425572127,286.7905670166016,5
MAB05h,71.86272725434182,333.0907440185547,6
MAB06h,47.56654754589997,215.37545013427734,2
MAB12h,25.525773956252714,103.22636413574219,1
MON02h,31.541796042938735,152.08724975585938,4
MON03h,21.3117566345816,116.51090621948242,2
MON10h,16.921217971763067,81.99699401855469,1
MON11h,26.419072558823135,115.6046371459961,1
MON19h,5.145047927259905,38.8656907081604,4
MON20h,0.6670705123757028,28.535557746887207,2
MON21Ah,17.91108505893481,89.81009845733642,5
MON23h,29.997004148673593,122.28710174560547,1
