areacode,mean_biwf,mean_l4_agbd,n_gedi_shots
LOP01h,0,10.587346076965332,5
LOP03h,14.106930907814045,74.66075253486633,8
LOP07h,55.199003483194254,242.44510154724122,10
LOP08h,80.07262532949208,347.67117091587613,7
LOP09h,60.1271757170862,277.84239087785994,7
LOP12h,60.657664764245474,294.9810989379883,5
LPG01h,43.93150602918254,200.1904067993164,2
LPG02h,13.730389794958448,62.26484298706055,1
MAB01h,39.715498079020264,179.43000962999133,9
MAB02h,40.753048667978184,186.81290326799666,7
MAB04h,62.65253425572127,286.7905670166016,5
MAB05h,84.77717989068536,408.49772491455076,10
MAB06h,41.81515702569125,189.03437614440918,4
MAB11h,39.77475892018573,181.44772338867188,5
MAB12h,13.431712593907967,61.66341336568197,3
MON01h,40.22748755927962,182.82025337219238,4
MON02h,37.25648487935264,176.53396606445312,7
MON03h,35.00417152289752,168.47138519287108,5
MON05h,8.173681428516154,42.208861112594604,4
MON09h,19.683189874399243,92.99416224161784,3
MON10h,11.896625682136271,63.93884162902832,5
MON11h,26.419072558823135,115.6046371459961,1
MON19h,8.507861751611143,52.136566400527954,8
MON20h,5.262416452379031,42.00987879435221,6
MON21Ah,14.058057957366293,70.1861441930135,9
MON22h,29.607258456234423,120.23806762695312,1
MON23h,35.564505994291466,155.94350814819336,2
RAB04h,39.70441322227877,168.84439086914062,1
RAB05h,35.351203604877114,148.7163874308268,3
