areacode,mean_biwf,mean_l4_agbd,n_gedi_shots
LOP01h,0,10.395453214645386,4
LOP03h,1.7577218008351774,28.421942138671874,5
LOP07h,33.10627366434754,273.7602882385254,6
LOP08h,46.864380155800355,402.6572570800781,4
LOP09h,23.35938126302783,192.6924575805664,5
LOP12h,13.223843955365682,90.45609283447266,1
MAB01h,22.483649091751595,185.54861755371093,5
MAB02h,23.789221122354437,199.44134140014648,4
MAB04h,32.862242203743165,286.7905670166016,5
MAB05h,37.31113974935221,333.0907440185547,6
MAB06h,25.65132860394413,215.37545013427734,2
MAB12h,15.41489126048578,103.22636413574219,1
MON02h,17.900073311427377,152.08724975585938,4
MON03h,12.7332628145247,116.51090621948242,2
MON10h,10.101514306616608,81.99699401855469,1
MON11h,15.283008690270325,115.6046371459961,1
MON19h,3.1488951538008485,38.8656907081604,4
MON20h,0.5006953136223123,28.535557746887207,2
MON21Ah,10.45634440204337,89.81009845733642,5
MON23h,17.602527230939298,122.28710174560547,1
