areacode,mean_biwf,mean_l4_agbd,n_gedi_shots
LOP01h,0,10.587346076965332,5
LOP03h,7.68321810555483,74.66075253486633,8
LOP07h,29.222674805246168,242.44510154724122,10
LOP08h,40.82451505426428,347.67117091587613,7
LOP09h,30.996702395657444,277.84239087785994,7
LOP12h,31.519170926102017,294.9810989379883,5
LPG01h,24.069335352788833,200.1904067993164,2
LPG02h,8.827905758964533,62.26484298706055,1
MAB01h,21.96810713454115,179.43000962999133,9
MAB02h,22.471958232119505,186.81290326799666,7
MAB04h,32.862242203743165,286.7905670166016,5
MAB05h,42.67957285166211,408.49772491455076,10
MAB06h,22.96520579895644,189.03437614440918,4
MAB11h,21.890370801590596,181.44772338867188,5
MAB12h,8.304237282155375,61.66341336568197,3
MON01h,22.445361032257175,182.82025337219238,4
MON02h,20.689109383506903,176.53396606445312,7
MON03h,19.48730737715932,168.47138519287108,5
MON05h,5.217112698047646,42.208861112594604,4
MON09h,11.80319608549227,92.99416224161784,3
MON10h,6.828802574632873,63.93884162902832,5
MON11h,15.283008690270325,115.6046371459961,1
MON19h,5.0162054223158945,52.136566400527954,8
MON20h,3.2304352262756413,42.00987879435221,6
MON21Ah,8.259976332655805,70.1861441930135,9
MON22h,17.017373549344423,120.23806762695312,1
MON23h,20.08837876574445,155.94350814819336,2
RAB04h,22.041617888951794,168.84439086914062,1
RAB05h,20.088732726168406,148.7163874308268,3
