"areacode","mean_biwf","mean_l4_agbd","n_shots"
"LOP01h",0,10.4055061340332,2
"LOP03h",0.989960586111419,20.5791320800781,3
"LOP07h",71.1281492049035,296.686706542969,1
"LOP08h",92.7588787055098,398.806457519531,2
"LOP09h",74.3069814352032,337.891494750977,2
"LOP12h",21.9388084895417,90.4560928344727,1
"MAB04h",75.8311965047897,339.50968170166,2
"MAB05h",69.8614320615639,332.881469726562,1
"MON02h",35.2071342923552,155.526832580566,2
"MON21Ah",26.1010006369015,121.69010925293,1
